date,Total self harm incidents,Incidents among men,Incidents among women
2018,12045,9926,2119
2018,13778,11200,2578
2018,15462,12714,2748
2018,14330,11518,2812
2019,14460,11764,2696
2019,16416,13444,2972
2019,16450,13448,3002
2019,16296,13035,3261
2020,15390,12569,2821
2020,13017,10171,2846
2020,14166,10679,3487
2020,12969,10132,2837
