date,Community death rate,Prison death rate
Jan-20,0.002,0
Feb-20,0.003,0
Mar-20,8.025,4.816
Apr-20,51.842,20.978
May-20,20.225,5.003
Jun-20,5.782,2.519
Jul-20,1.825,0
Aug-20,0.85,0
Sep-20,1.366,0
Oct-20,7.961,6.331
Nov-20,19.98,19.049
Dec-20,20.703,30.527
Jan-21,56.275,20.517
Feb-21,24.892,41.061
Mar-21,6.297,30.737
Apr-21,1.475,3.853
