date,Community death rate,Prison death rate
01 January 2020,0.002,0
01 February 2020,0.003,0
01 March 2020,8.025,4.816
01 April 2020,51.842,20.978
01 May 2020,20.225,5.003
01 June 2020,5.782,2.519
01 July 2020,1.825,0
01 August 2020,0.85,0
01 September 2020,1.366,0
01 October 2020,7.961,6.331
01 November 2020,19.98,19.049
01 December 2020,20.703,30.527
01 January 2021,56.275,20.517
01 February 2021,24.892,41.061
01 March 2021,6.297,30.737
01 April 2021,1.475,3.853
