date,Rate of Covid-19 cases in the community,Rate of Covid-19 cases in prisons
Jan-20,0.00,0.00
Feb-20,0.07,0.00
Mar-20,58.84,95.12
Apr-20,211.91,373.89
May-20,121.52,116.31
Jun-20,46.13,44.08
Jul-20,33.73,22.62
Aug-20,51.51,27.72
Sep-20,227.37,111.20
Oct-20,861.99,1248.47
Nov-20,934.77,2463.62
Dec-20,1574.26,3204.10
Jan-21,1881.52,6309.07
Feb-21,511.54,4920.96
Mar-21,250.58,2020.98
Apr-21,114.96,192.66
