date,Rate of Covid-19 cases in the community,Rate of Covid-19 cases in prisons
01/01/2020,0.00,0.00
01/02/2020,0.07,0.00
01/03/2020,58.84,95.12
01/04/2020,211.91,373.89
01/05/2020,121.52,116.31
01/06/2020,46.13,44.08
01/07/2020,33.73,22.62
01/08/2020,51.51,27.72
01/09/2020,227.37,111.20
01/10/2020,861.99,1248.47
01/11/2020,934.77,2463.62
01/12/2020,1574.26,3204.10
01/01/2021,1881.52,6309.07
01/02/2021,511.54,4920.96
01/03/2021,250.58,2020.98
01/04/2021,114.96,192.66
